,Product name,Rating number,Reviews number,Price
product_19,"Crema de fata antirid si fermitate Vichy Liftactiv Supreme pentru ten normal/mixt, 50 ml",4.65,117,87.5
product_20,"Crema de fata hidratanta matifianta pentru ten gras cu tendinta acneica La Roche-Posay Effaclar Mat, 40 ml",4.56,177,60.69
product_21,"Crema reparatoare pentru ochi CeraVe cu ceramide si acid hialuronic, 14 ml",4.33,27,49.44
product_22,"Crema, A-Ret, Menarini, Anti-Rid, Anti-Acnee, Anti-Pete, Tretinoina 0.1%, Tub 20gr",4.2,5,77.11
product_23,"Crema hidratanta pentru fata si corp CeraVe cu ceramide si acid hialuronic, pentru piele uscata si foarte uscata, 340 g",4.87,473,57.76
product_24,"Crema pentru ochi Revox Just Rose Water Avocado Oil Eye Care Cream, 50 ml",4.86,14,30.45
product_25,"Crema reparatoare pentru picioare CeraVe cu ceramide si acid salicilic, pentru piele foarte uscata si aspra, 88 ml",4.81,42,34.46
product_26,"Crema de zi Nivea Cellular Luminous, SPF50, 40 ml",4.5,2,92.99
product_27,"Crema antirid de noapte L'Oreal Paris Hyaluron Specialist cu acid hialuronic, 50 ml",4.38,93,30.91
product_28,"Crema de fata antirid de zi cu acid hialuronic Vichy Neovadiol Peri-Menopause cu efect de redensificare si reumplere, ten normal-mixt, 50ml",4.94,18,95.83
product_29,"Crema antirid pentru fata L'Oreal Paris Age Specialist 65+ de zi, 50 ml",4.89,19,27.3
product_30,"Balsam reparator calmant cu indicatii multiple pentru iritatiile pielii si pentru cicatrici, potrivit pentru bebelusi, copii, adulti La Roche-Posay Cicaplast B5, 100 ml",4.92,155,71.0
product_31,"Crema regeneranta de noapte Apidava cu miere, laptisor de matca si vitamina A, 30 ml",4.59,29,18.68
product_32,"Crema hidratanta si exfolianta pentru corp CeraVe SA cu acid salicilic si acid hialuronic, pentru pielea uscata, aspra, cu rugozitati, 340gr",4.74,73,72.93
product_33,"Crema antirid pentru conturul ochilor Vichy Liftactiv, 15 ml",4.51,35,72.3
product_34,"Nivea Crema anti-rid Q10 de zi, SPF 30, 50 ml",4.33,9,47.99
product_35,"Gel-crema de fata Avene Hydrance Aqua-Gel, 50 ml",4.55,22,62.8
product_36,"Crema contur buze si ochi Neovadiol GF, 15 ml",4.79,24,76.12
product_37,"Balsam reparator calmant cu indicatii multiple pentru iritatiile pielii si pentru cicatrici, potrivit pentru bebelusi, copii, adulti La Roche-Posay Cicaplast B5, 40 ml",4.92,155,52.94
product_38,"Crema de fata Bioderma Atoderm Nutritive pentru ten uscat si foarte uscat, 40 ml",4.77,26,32.24
product_39,"Crema Anti-Rid, Johnson & Johnson, Retino-A, Anti-Acnee, Tretinoin 0.05%, 20gr",5,5,76.5
product_40,Vaselina Cosmetica - Vaseline Original Petroleum Jelly 50ml,5,12,8.93
product_41,"Crema hidratanta Mixa Hyalurogel Rich cu acid hialuronic pentru ten uscat, 50 ml",5,8,30.89
product_42,"Serum The Ordinary, Niacinamide 10% + Zinc 1% - ser",4.5,8,53.0
product_43,"Crema pentru tenul gras cu tendinta acneica Vichy Normaderm Phytosolution ce reduce imperfectiunile, cu acid salicilic, vitamina C si acid hialuronic, 50ml",4.44,95,79.29
product_44,"Crema de zi L'Oreal Paris Hydra Genius pentru ten mixt, 70 ml",4.5,38,45.84
product_45,"Crema Anestezica, TKTX, Ultra Green, Verde, pentru Tatuaje, Cosmetica, 8% Lidocaina, 10gr",3,3,68.54
product_46,"Crema hidratanta pentru fata si corp CeraVe pentru piele uscata si foarte uscata, 177 ml",4.87,473,42.42
product_47,Vaselina cosmetica Vaseline Aloe Vera Soothing Jelly 100ml,5,5,10.9
product_48,"Balsam dupa epilat Elmiplant, 100 ml",4.96,24,6.69
product_49,"Crema de fata cu Colagen, Retinol, Acid Hyaluronic si Vitamina E Complex, 50ml",4.35,17,53.5
product_50,"Balsam reparator si calmant cu tripla actiune pentru pielea cu tendinta atopica si alergica, potrivit pentru bebelusi, copii si adulti La Roche-Posay Lipikar Baume AP+M, 400 ml",4.63,139,96.96
product_51,"Solutie hidratanta si iluminatoare Just Revox pentru fata, cu vitamina C 2%, 30 ml",4.5,2,25.2
product_52,"Lotiune de corp Elmiplant cu acid hyaluronic pentru piele uscata, 400 ml",4.96,27,21.0
product_53,"Crema hidratanta de zi Garnier cu acid hialuronic si aloe vera pentru ten uscat si sensibil, 50 ml",4.95,22,24.49
product_54,"Crema de corp Bioderma Atoderm pentru piele normala/uscata, cu parfum, 500 ml",5,31,51.99
product_55,"Lotiune hidratanta pentru fata si corp CeraVe cu ceramide si acid hialuronic, pentru piele uscata si foarte uscata, 473 ml",4.8,210,57.63
product_56,"Crema renovatoare pentru tenul gras, La Roche Posay EFFACLAR K(+), anti oxidanta, anti sebum 8h, 40ml",4.65,17,66.3
product_57,"Crema ultra-activa Gerovital Stop Acnee, 15 ml",3.87,15,14.74
product_58,"Crema de noapte Vichy LIFTACTIV Collagen Specialist pentru toate tipurile de ten, 50ml",4.61,84,124.75
product_59,"Booster zilnic pentru fata Vichy Mineral 89 gel cu efect de hidratare, fortifiere si reumplere, cu acid hialuronic, 50ml",4.36,147,95.45
product_60,"Unguent cu Rostopasca, 20ml, Herbal Therapy",5,1,4.95
